iter	Logloss
0	0.6862080541
1	0.6792796168
2	0.672522341
3	0.665937963
4	0.6593817349
5	0.6531244738
6	0.6468766837
7	0.6406542548
8	0.6345856765
9	0.6287296164
10	0.6228532462
11	0.6170865815
12	0.6115156503
13	0.6059700801
14	0.6005148526
15	0.5950955095
16	0.5898481698
17	0.5847459464
18	0.5795837402
19	0.5746531519
20	0.5698734678
21	0.5651239856
22	0.5604639514
23	0.5558731605
24	0.5513244629
25	0.5469019397
26	0.5425219306
27	0.5382024305
28	0.5339285489
29	0.5297083361
30	0.5255206404
31	0.5214028194
32	0.5173795503
33	0.5134694593
34	0.5095850451
35	0.5056410165
36	0.5018852497
37	0.4982586565
38	0.4945631356
39	0.4909649553
40	0.4874505405
41	0.4839826913
42	0.4805377829
43	0.4771746405
44	0.4738490664
45	0.4706827098
46	0.4674581593
47	0.4642008814
48	0.461040681
49	0.4579353069
50	0.4548815497
51	0.451847892
52	0.448951195
53	0.4459857283
54	0.4431068157
55	0.4403182983
56	0.4374526978
57	0.4346598132
58	0.4319260959
59	0.4293353377
60	0.4267072217
61	0.4240697926
62	0.4215841096
63	0.4191375469
64	0.4168353903
65	0.4144448379
66	0.4120800676
67	0.4097049845
68	0.407379887
69	0.4050883326
70	0.4027614199
71	0.40053853
72	0.3983388967
73	0.3961992987
74	0.3940588063
75	0.3919565661
76	0.3898512479
77	0.3878044918
78	0.3858375812
79	0.3838559381
80	0.3819386976
81	0.379973576
82	0.3781612002
83	0.3762697417
84	0.374363919
85	0.3726428591
86	0.3708053852
87	0.3690143454
88	0.3672526919
89	0.3654924853
90	0.3637642959
91	0.3620765423
92	0.3603775814
93	0.3587428915
94	0.3571907307
95	0.3556278886
96	0.3541994818
97	0.352628721
98	0.3510818481
99	0.3495369747
