iter	Passed	Remaining
0	2	279
1	5	253
2	7	234
3	9	223
4	11	221
5	13	213
6	15	205
7	17	201
8	19	193
9	20	183
10	21	174
11	22	165
12	23	159
13	24	152
14	26	147
15	27	142
16	27	136
17	28	130
18	29	125
19	30	120
20	30	116
21	31	112
22	32	108
23	33	104
24	33	101
25	34	98
26	35	95
27	35	92
28	36	89
29	37	87
30	38	84
31	38	82
32	39	80
33	40	78
34	41	77
35	42	75
36	42	73
37	43	71
38	44	69
39	45	67
40	45	65
41	46	64
42	47	62
43	47	61
44	48	59
45	49	57
46	50	56
47	50	54
48	51	53
49	52	52
50	53	50
51	53	49
52	54	48
53	55	47
54	56	46
55	57	45
56	58	43
57	59	42
58	59	41
59	60	40
60	61	39
61	61	37
62	62	36
63	62	35
64	63	34
65	64	33
66	65	32
67	65	30
68	66	29
69	67	28
70	67	27
71	68	26
72	69	25
73	69	24
74	70	23
75	72	22
76	72	21
77	73	20
78	74	19
79	75	18
80	75	17
81	76	16
82	76	15
83	77	14
84	78	13
85	78	12
86	79	11
87	80	10
88	81	10
89	82	9
90	82	8
91	83	7
92	84	6
93	85	5
94	86	4
95	87	3
96	88	2
97	89	1
98	89	0
99	90	0
